Advertisement,Advertisement No,Advertisement Date,Location,Price,Gross Area,Net Area,Age,Room,Floor,Heating,Furnished,House URL
Çekmeköy Ekşioğlu Beşyıldız 4.Etap satılık 3+1 daire,Portföy No: P37670642,02-13-2025,İstanbul Anadolu / Çekmeköy/ Mimar Sinan Mah.,9.200.000 ₺,170,130,16-20,3+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P37670642
Wloft Dragos Muhteşem Manzara Özel Dekorasyon 3+1 Kiralık Daire,Portföy No: P36273401,02-13-2025,İstanbul Anadolu / Maltepe/ Cevizli Mah.,12.950.000 ₺,155,110,8,3+1,19,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P36273401
Feyzullah Mahallesi'nde Projeden Satılık Lüx Dublex ve Daireler,Portföy No: P42363383,02-13-2025,İstanbul Anadolu / Maltepe/ Feyzullah Mah.,13.500.000 ₺,165,132,1,4+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P42363383
PENDİK YENİŞEHİR MUTLU CİTY DE AZ KATLI BLOKDA SATILIK 2+1 DAİRE,Portföy No: P40252207,02-13-2025,İstanbul Anadolu / Pendik/ Yenişehir Mah.,4.900.000 ₺,126,90,16-20,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P40252207
PENDİK BAHÇELİEVLER KİRACISIZ SATILIK 3+1 DAİRE !!,Portföy No: P81465867,02-13-2025,İstanbul Anadolu / Pendik/ Bahçelievler Mah.,4.995.000 ₺,115,90,16-20,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P81465867
REMAX GÜLDENİZ ÜMRANİYE MADENLER DOSTKENT EVLERİ ACİL SATILK 3+1,Portföy No: P05207044,02-13-2025,İstanbul Anadolu / Ümraniye/ Madenler Mah.,5.200.000 ₺,130,110,21-25,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P05207044
SULTANBEYLİ HASANPAŞA MERKEZ METROYA YÜRÜME SATILIK 2+1 5.KAT,Portföy No: P76584654,02-13-2025,İstanbul Anadolu / Sultanbeyli/ Hasanpaşa Mah.,1.610.000 ₺,100,85,21-25,2+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P76584654
PENDİK'TE MUHTEŞEM DENİZ MANZARASIYLA LEB-İ DERYA EVLERİ PROJESİ,Portföy No: P80305282,02-13-2025,İstanbul Anadolu / Pendik/ Çınardere Mah.,7.250.000 ₺,90,68,1,2+1,6,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P80305282
Maltepe Başibüyük'te 4+1 Daire,Portföy No: P68441843,02-13-2025,İstanbul Anadolu / Maltepe/ Fındıklı Mah.,8.250.000 ₺,168,140,10-15,4+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P68441843
"Kartal Ermankent Sitesinde Satılık, Geniş kullanımlı Ferah 3+1 Daire",Portföy No: P05514121,02-13-2025,İstanbul Anadolu / Kartal/ Petrol iş Mah.,4.650.000 ₺,140,101,30+,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P05514121
"""İstanbul'un Eşsiz Boğaz Manzaralı 1+1 Konutu Sizi Bekliyor!""",Portföy No: P44727582,02-13-2025,İstanbul Anadolu / Üsküdar/ Çengelköy Mah.,20.000.000 ₺,75,48,30+,1+1,4,Klima,Hayır,https://www.remax.com.tr/portfoy/P44727582
FINDIKLI MAHALLESİNDE MERKEZİ KONUMDA 2+1 SATILIK DAİRE,Portföy No: P88653231,02-13-2025,İstanbul Anadolu / Maltepe/ Fındıklı Mah.,4.200.000 ₺,70,60,10-15,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P88653231
ÜMRANİYE PALMİYE SİTESİNDE 282 M2 5+2 ÇATI DUBLEX SATILIK DAİRE,Portföy No: P88514822,02-13-2025,İstanbul Anadolu / Ümraniye/ Madenler Mah.,11.000.000 ₺,283,235,10-15,5+2,8,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P88514822
ÜMRANİYE ESENKENT MAHALLESİ 2+1 SATILIK DAİRE,Portföy No: P68078720,02-13-2025,İstanbul Anadolu / Ümraniye/ Esenkent Mah.,4.000.000 ₺,90,80,3,2+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P68078720
TAŞDELEN MERKEZDE MEGAKENT SİTESİNDE 5+1 SATILIK DUBLEKS,Portföy No: P85385208,02-13-2025,İstanbul Anadolu / Çekmeköy/ Sultançiftliği Mah.,7.050.000 ₺,145,125,10-15,3+1,Çatı Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P85385208
ÇEKMEKÖY ÇATALMEŞE MAHALLESINDE SIFIR 80 M2,Portföy No: P31874337,02-13-2025,İstanbul Anadolu / Çekmeköy/ Çatalmeşe Mah.,4.300.000 ₺,100,80,0,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P31874337
ÇATALMEŞE MAHALLESINDE SATILIK 3+1,Portföy No: P46661183,02-13-2025,İstanbul Anadolu / Çekmeköy/ Çatalmeşe Mah.,4.500.000 ₺,115,100,8,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P46661183
SARAY CADDESI ÜZERINDE SATILIK 2+1,Portföy No: P25045545,02-13-2025,İstanbul Anadolu / Çekmeköy/ Çatalmeşe Mah.,4.000.000 ₺,85,65,8,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P25045545
ATAŞEHIR KARŞISI ANFORA KONUTLARI 3+1 BALKONLU 155 M2 İSKANLI,Portföy No: P45800280,02-13-2025,İstanbul Anadolu / Ümraniye/ Şerifali Mah.,12.500.000 ₺,155,135,30+,3+1,6,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P45800280
SANCAKTEPE SARIGAZİ'DE GENİŞ KULLANIŞLI 2+1 DAİRE,Portföy No: P10000783,02-13-2025,İstanbul Anadolu / Sancaktepe/ İnönü Mah.,3.895.000 ₺,100,80,10-15,2+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P10000783
"ATATÜRK MAHALLESI ÇARŞI MERKEZDE 2+1,ARAKAT,75 M2,ÖN CEPHE",Portföy No: P08872102,02-13-2025,İstanbul Anadolu / Ümraniye/ Atatürk Mah.,3.450.000 ₺,75,70,30+,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P08872102
ÇEKMEKÖY MADENLER MAHALLESINDE SATILIK DUBLEKS DAIRE,Portföy No: P81475382,02-13-2025,İstanbul Anadolu / Ümraniye/ Madenler Mah.,6.150.000 ₺,140,125,9,4+2,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P81475382
MALTEPE FINDIKLI 2+1 YATIRIMLIK DAIRE,Portföy No: P22365352,02-13-2025,İstanbul Anadolu / Maltepe/ Fındıklı Mah.,3.000.000 ₺,90,73,21-25,2+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P22365352
"Moda'da Mükemmel Konumda, Kapalı Otoparklı, Harika 2+1 Daire",Portföy No: P55722716,02-13-2025,İstanbul Anadolu / Kadıköy/ Caferağa Mah.,9.800.000 ₺,72,65,7,2+1,Yüksek Giriş,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P55722716
"ATATÜRKTE BELEDIYEYE YAKIN YENI BINA 115 M2,TERASLI,5+1 DUBLEKS",Portföy No: P31283268,02-13-2025,İstanbul Anadolu / Ümraniye/ Atatürk Mah.,9.350.000 ₺,115,108,4,5+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P31283268
PENDİK KURTKÖY YENİŞEHİR PARKPLANET SİT SATILIK BAHÇE KULLANIMLI DAİRE,Portföy No: P48128623,02-13-2025,İstanbul Anadolu / Pendik/ Yenişehir Mah.,4.250.000 ₺,67,45,9,1+1,Bahçe Katı,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P48128623
SUADIYE'NİN EN NEZIH SOKAĞINDA 32 M2 NET SALON BALKONLU GENIŞ SATILIK 2+1 DAİRE,Portföy No: P27214860,02-13-2025,İstanbul Anadolu / Kadıköy/ Suadiye Mah.,13.500.000 ₺,105,88,0,2+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P27214860
BAĞDAT CAD ÜZERINDE TABELA DEGERLI SATILIK DAIRE,Portföy No: P81323522,02-13-2025,İstanbul Anadolu / Kadıköy/ Zühtüpaşa Mah.,45.000.000 ₺,142,129,0,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P81323522
CUMHURİYET MAHALLESİNDE SATILIK 4+1 BAKIMLI DUBLEKS,Portföy No: P70606881,02-13-2025,İstanbul Anadolu / Üsküdar/ Cumhuriyet Mah.,7.500.000 ₺,135,115,10-15,4+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P70606881
ÇEKMEKÖY HAMİDİYE'DE ÇİFT GİRİŞLİ 2+2 TERASLI SATILIK DUBLEKS,Portföy No: P47587817,02-13-2025,İstanbul Anadolu / Çekmeköy/ Hamidiye Mah.,3.950.000 ₺,130,105,10-15,2+2,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P47587817
Ağaoğlu My World Highpark Yüksek Kat Ebv. Banyo 2+1 Satılık,Portföy No: P46312431,02-13-2025,İstanbul Anadolu / Ataşehir/ Barbaros Mah.,**** ₺,138,103,16-20,2+1,21,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P46312431
Taşmektep'te Muhteşem Lokasyon Caddeye 3. Paralel Satılık 3+1,Portföy No: P83163347,02-13-2025,İstanbul Anadolu / Kadıköy/ Göztepe Mah.,19.950.000 ₺,110,95,10-15,3+1,6,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P83163347
TANZIMAT SOKAĞA CEPHELI ÖNÜ AÇIK VE FERAH ÇOK ŞIK 3+1 DAIRE,Portföy No: P21364513,02-13-2025,İstanbul Anadolu / Kadıköy/ Göztepe Mah.,17.500.000 ₺,120,92,7,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P21364513
Tuzla İstasyon Mah. Mira Park Evleri Arakat 2+1 Satılık Daire,Portföy No: P36468852,02-13-2025,İstanbul Anadolu / Tuzla/ İstasyon Mah.,4.100.000 ₺,80,62,10-15,2+1,1,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P36468852
KADIKÖY OSMANAĞA MAHALLESI 5+1 DAİRE,Portföy No: P32720727,02-13-2025,İstanbul Anadolu / Kadıköy/ Osmanağa Mah.,6.500.000 ₺,160,130,30+,5+1,Çatı Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P32720727
ÇEKMEKÖY EKŞIOĞLU MAHALLESINDE SATILIK 3+1 FIRSAT DAIRE,Portföy No: P00756874,02-13-2025,İstanbul Anadolu / Çekmeköy/ Ekşioğlu Mah.,7.150.000 ₺,120,100,2,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P00756874
KADIKÖY OSMANAĞA MAHALLESİ İKİ DAİRE TEK TAPU DAİRE,Portföy No: P35604718,02-13-2025,İstanbul Anadolu / Kadıköy/ Osmanağa Mah.,8.000.000 ₺,200,175,30+,6+2,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P35604718
REMAX PROF BURAK KARABULUT'TAN SATILIK 3+1 ÇATI DUBLEKS DAİRE,Portföy No: P12803458,02-13-2025,İstanbul Anadolu / Sancaktepe/ Sarıgazi Mah.,4.500.000 ₺,120,105,9,3+1,Çatı Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P12803458
SANCAKTEPE YENİDOĞANDA CADDE ÜZERİ FERAH ARAKAT 2+1 DAİRE,Portföy No: P17463658,02-13-2025,İstanbul Anadolu / Sancaktepe/ Yunus Emre Mah.,4.200.000 ₺,80,70,9,2+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P17463658
Kartal Yakacık Çarşı Mh Diamond Life Sitesi Teras Kullanımlı SATILIK 2+1 Daire,Portföy No: P62864085,02-13-2025,İstanbul Anadolu / Kartal/ Yakacık Çarşı Mah.,6.150.000 ₺,110,84,5,2+1,1,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P62864085
CUENTO PLUS’TA MANZARALI 1+1 SATILIK DAİRE,Portföy No: P16425166,02-13-2025,İstanbul Anadolu / Ümraniye/ Tatlısu Mah.,5.350.000 ₺,78,55,2,1+1,15,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P16425166
POSTANE MAH. TUZLA PORT'A KOMŞU 5+2 SATILIK 245 M2 DUBLEKS DAİRE,Portföy No: P30882712,02-13-2025,İstanbul Anadolu / Tuzla/ Postane Mah.,13.100.000 ₺,245,190,9,5+2,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P30882712
ALTINTEPE ÇAMLIK'DA YENİ BİNADA 240 M2 ULTRALÜKS DUBLEKS KEYFİ,Portföy No: P28081657,02-13-2025,İstanbul Anadolu / Maltepe/ Küçükyalı Mah.,15.600.000 ₺,240,215,10-15,4+2,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P28081657
FINDIKLI MAH.'DE YENİ BİNADA ARAKATTA BALKONLU AYRI MUTFAKLI 2+1 SATILIK DAİRE,Portföy No: P01444064,02-13-2025,İstanbul Anadolu / Maltepe/ Fındıklı Mah.,3.100.000 ₺,60,55,8,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P01444064
Bulgurlu Mahallesinde Güçlü Lokasyonda Satılık 2+1 Bahçe Katı,Portföy No: P40543877,02-13-2025,İstanbul Anadolu / Üsküdar/ Bulgurlu Mah.,5.200.000 ₺,90,70,16-20,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P40543877
SANCAKTEPE ULAŞ SİTESİNDE SATILIK 3+1 DAİRE,Portföy No: P32771312,02-13-2025,İstanbul Anadolu / Sancaktepe/ Atatürk Mah.,4.400.000 ₺,138,115,16-20,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P32771312
KARTAL ESENTEPE AVRUPA KONUTLARINDA KISA KATLI LÜKS 1+1 SATILIK,Portföy No: P84681115,02-13-2025,İstanbul Anadolu / Kartal/ Esentepe Mah.,6.900.000 ₺,75,58,1,1+1,2,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P84681115
HARİKA KONUMDA YAKACIK ÇARŞIDA MÜKEMMEL 3+1 ARAKAT DAİRE,Portföy No: P46433848,02-13-2025,İstanbul Anadolu / Kartal/ Yakacık Çarşı Mah.,6.000.000 ₺,120,105,7,3+1,5,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P46433848
CADDEBOSTAN PLAJ YOLU SOKAK'TA SIFIR BALKONLU 3+1 DAİRE SATILIK,Portföy No: P14374157,02-13-2025,İstanbul Anadolu / Kadıköy/ Caddebostan Mah.,28.250.000 ₺,160,110,1,3+1,5,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P14374157
BAŞIBÜYÜK YOLU CADDESİNE YAKIN FIRSAT 3+1 SATILIK DAİRE,Portföy No: P33882377,02-13-2025,İstanbul Anadolu / Maltepe/ Fındıklı Mah.,3.500.000 ₺,100,90,10-15,3+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P33882377
ÇEKMEKÖY TAŞDELEN MERKEZİ KONUMDA 2+1 SATILIK  DAİRE,Portföy No: P48613327,02-13-2025,İstanbul Anadolu / Çekmeköy/ Taşdelen Mah.,5.200.000 ₺,100,85,6,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P48613327
KADIKÖY GÖZTEPE ŞEHİR HASTANESİNDE 4+1 SATILIK DUBLEKS DAİRE,Portföy No: P20022373,02-13-2025,İstanbul Anadolu / Kadıköy/ Dumlupınar Mah.,15.000.000 ₺,170,150,1,4+1,8,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P20022373
CUMHURİYET MAHALLESİ 3+1 BOŞ BAHÇE KATI,Portföy No: P84275446,02-13-2025,İstanbul Anadolu / Üsküdar/ Cumhuriyet Mah.,4.250.000 ₺,100,85,16-20,3+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P84275446
YAKACIK'DA ADAALAR MANZARALI YENİ BİNADA 3+1 SATILIK DAİRE,Portföy No: P67313276,02-13-2025,İstanbul Anadolu / Kartal/ Yakacık Yeni Mah.,7.000.000 ₺,151,117,3,3+1,7,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P67313276
ÇEKMEKÖY SOĞUKPINAR MAHALLESINDE SAKLI VADI KONAKLARINDA SATILIK 2+1 LÜX DAİRE,Portföy No: P13220052,02-13-2025,İstanbul Anadolu / Çekmeköy/ Soğukpınar Mah.,5.000.000 ₺,101,87,4,2+1,9,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P13220052
BAĞDAT CADDESİNDE YAŞAMAKTAN BEKLENTİNİZ HER NE İSE HEPSİNİ BULABİLECEĞİNİZ O DAİRE...,Portföy No: P67464665,02-13-2025,İstanbul Anadolu / Kadıköy/ Suadiye Mah.,72.500.000 ₺,225,190,1,4.5+1,9,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P67464665
ERENKÖY SIFIR BİNADA SATILIK 3+1 DAİRE,Portföy No: P13806228,02-13-2025,İstanbul Anadolu / Kadıköy/ Erenköy Mah.,13.000.000 ₺,105,75,0,3+1,3,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P13806228
MERKEZ MAH.FIRSAT SATILIK ARA KAT BALKONLU 90 M² 2+1 DAIRE,Portföy No: P55318441,02-13-2025,İstanbul Anadolu / Çekmeköy/ Merkez Mah.,3.950.000 ₺,90,77,9,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P55318441
REMAX MASA BARBAROS MH. ÖNÜ AÇIK MANZARALI SATILIK 4+1 DUBLEKS,Portföy No: P32101040,02-13-2025,İstanbul Anadolu / Üsküdar/ Barbaros Mah.,32.500.000 ₺,232,200,1,4+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P32101040
Kısıklı Lale Konakları Satılık 3+1 Daire,Portföy No: P25121340,02-13-2025,İstanbul Anadolu / Üsküdar/ Burhaniye Mah.,28.000.000 ₺,161,132,1,3+1,2,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P25121340
KORU PLUS PENDİK BATI ÇARŞI İÇİ SIFIR 140 M2 3+1 SATILIK DAİRE,Portföy No: P26840610,02-13-2025,İstanbul Anadolu / Pendik/ Batı Mah.,12.000.000 ₺,140,98,1,3+1,1,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P26840610
Ümraniye Site mah. Finans Merkezine Yakın Sıfır Satılık,Portföy No: P18684417,02-13-2025,İstanbul Anadolu / Ümraniye/ Site Mah.,5.490.000 ₺,78,65,1,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P18684417
"ÜMRANIYE MADENLER MAHALLESI'NDE KONFORLU 2+1 ARA KAT DAIRE – ASANSÖRLÜ, AÇIK OTOPARKLI!",Portföy No: P54664788,02-13-2025,İstanbul Anadolu / Ümraniye/ Madenler Mah.,4.250.000 ₺,75,60,8,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P54664788
SUADİYE CHANEL’İN SOKAĞINDA SATILIK BALKONLU 3+1,Portföy No: P33231826,02-13-2025,İstanbul Anadolu / Kadıköy/ Bostancı Mah.,23.500.000 ₺,160,128,7,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P33231826
ÜMRANIYE NECIP FAZIL'DA SATILIK 3+1 DAIRE,Portföy No: P80136786,02-13-2025,İstanbul Anadolu / Ümraniye/ Necip Fazıl Mah.,2.350.000 ₺,120,100,30+,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P80136786
Bostancı sahilde lebi Derya deniz manzaralı satılık dubleks,Portföy No: P25467223,02-13-2025,İstanbul Anadolu / Kadıköy/ Bostancı Mah.,27.500.000 ₺,265,210,7,4+1,7,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P25467223
CADDEBOSTAN MAH GELENGÜL SOKAKTA BOŞ 3+1 SATILIK DAİRE,Portföy No: P21464883,02-13-2025,İstanbul Anadolu / Kadıköy/ Caddebostan Mah.,17.500.000 ₺,125,100,26-30,3+1,2,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P21464883
MİMAR SİNAN MAHALLESİ BASRA CADDESİ 5+2 SIFIR ÜST DUBLEKS DAİRE,Portföy No: P43885576,02-13-2025,İstanbul Anadolu / Sultanbeyli/ Mimar Sinan Mah.,6.300.000 ₺,190,170,1,5+2,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P43885576
KARTAL UĞUR MUMCU TEKNİK YAPI UPCİTY FLATS  3+1 SATILIK DAİRE,Portföy No: P41003343,02-13-2025,İstanbul Anadolu / Kartal/ Uğur Mumcu Mah.,10.800.000 ₺,120,100,10-15,3+1,10,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P41003343
MALTEPE ÇINARDA KENTSEL DÖNÜŞÜM AVANTAJLI 3+1 SATILIK DAİRE,Portföy No: P00341260,02-13-2025,İstanbul Anadolu / Maltepe/ Çınar Mah.,4.350.000 ₺,95,88,30+,3+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P00341260
REMAX ENJOY'DAN     SATILIK 1+1 DAİRE,Portföy No: P41673441,02-13-2025,İstanbul Anadolu / Pendik/ Esenyalı Mah.,1.850.000 ₺,85,80,30+,1+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P41673441
"Kadıköy, Suadiye, Feride Geçidi, Marmaray, Metro Balkonlu Geniş 83 m² net 2+1",Portföy No: P57665226,02-13-2025,İstanbul Anadolu / Kadıköy/ Suadiye Mah.,14.750.000 ₺,105,83,1,2+1,7,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P57665226
KARTAL SOĞANLIK'DA METRO VE E5'E YAKIN 4+1 DUBLEKS AKILLI DAİRE,Portföy No: P78655330,02-13-2025,İstanbul Anadolu / Kartal/ Orta Mah.,10.400.000 ₺,140,125,7,4+1,5,Doğalgaz (Kombi),Evet,https://www.remax.com.tr/portfoy/P78655330
ÜMRANİYE ŞERİFALİ MEHMETAKİF MAH GREEN GARDEEN 2+1 SATILIK DAİRE,Portföy No: P32756754,02-13-2025,İstanbul Anadolu / Ümraniye/ Mehmet Akif Mah.,4.950.000 ₺,85,70,10-15,2+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P32756754
Pendik Bahçelievler Mah. Merkezi Konumda Sahile 5dk mesafede 2+1,Portföy No: P64058028,02-13-2025,İstanbul Anadolu / Pendik/ Bahçelievler Mah.,4.650.000 ₺,85,70,1,2+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P64058028
Megakent Sitesinde Tadilat Yapılmış Geniş Kullanışlı 3+1 Daire,Portföy No: P14744576,02-13-2025,İstanbul Anadolu / Çekmeköy/ Sultançiftliği Mah.,4.650.000 ₺,135,120,16-20,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P14744576
ÜMRANİYE ARMAĞANEVLER'DE BOŞ 2+1 KAPALI OTOPARKLI SATILIK DAİRE,Portföy No: P07428403,02-13-2025,İstanbul Anadolu / Ümraniye/ Armağanevler Mah.,3.750.000 ₺,80,70,8,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P07428403
ŞERİFALİ DE PANAROMİK ŞEHİR MANZARALI DUBLEX,Portföy No: P75772274,02-13-2025,İstanbul Anadolu / Ümraniye/ Tatlısu Mah.,10.500.000 ₺,230,190,16-20,4+2,8,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P75772274
SELAMİÇEŞME DE ÖZGÜRLÜK PARKINA YAKIN 2+1  YENİ BİNA DA SATILIK DAİRE,Portföy No: P05146585,02-13-2025,İstanbul Anadolu / Kadıköy/ Göztepe Mah.,11.000.000 ₺,85,75,7,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P05146585
SUADİYE'DE H.TEPEYRAN SOKAK'TA SATILIK 96M2 NET 3+1 LÜKS DAİRE,Portföy No: P18045141,02-13-2025,İstanbul Anadolu / Kadıköy/ Suadiye Mah.,18.950.000 ₺,125,96,6,3+1,12,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P18045141
FENERYOLU DA YENİ 3+1 SATILIK LÜKS DAİRE,Portföy No: P74442658,02-13-2025,İstanbul Anadolu / Kadıköy/ Feneryolu Mah.,12.200.000 ₺,120,98,8,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P74442658
Daire Kartal Panoramik Adalar Manzaralı Satılık 2+1 Daire,Portföy No: P38220827,02-13-2025,İstanbul Anadolu / Kartal/ Yalı Mah.,7.950.000 ₺,110,65,6,2+1,13,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P38220827
Daire Kartal Panoramik Adalar Deniz Manzaralı Satılık 2+1 Daire,Portföy No: P83011308,02-13-2025,İstanbul Anadolu / Kartal/ Yalı Mah.,6.750.000 ₺,110,62,6,2+1,13,Merkezi (Pay Ölçer),Hayır,https://www.remax.com.tr/portfoy/P83011308
TUZLA AYDIN. MAH. DUMANKAYA BOTANİK 1+0 SATILIK BOŞ  FULL EŞYALI DAİRE,Portföy No: P21803868,02-13-2025,İstanbul Anadolu / Tuzla/ Aydınlı Mah.,2.450.000 ₺,50,40,10-15,1+0,6,Doğalgaz (Kombi),Evet,https://www.remax.com.tr/portfoy/P21803868
ÜSKÜDAR SELAMİ ALİ'DE 4+2 ÇİFT KATLI ŞÖMİNELİ SATILIK DAİRE,Portföy No: P04102844,02-13-2025,İstanbul Anadolu / Üsküdar/ Selami Ali Mah.,13.500.000 ₺,190,160,10-15,4+2,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P04102844
ESATPAŞA LALEZAR SİTESİ 2+1 SATILIK DAİRE,Portföy No: P54268305,02-13-2025,İstanbul Anadolu / Ataşehir/ Esatpaşa Mah.,4.800.000 ₺,80,60,10-15,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P54268305
"ATATÜRK MAHALLESİ ÇARŞI MERKEZDE 75 m2,ARAKAT,2+1,BAKIMLI DAİRE",Portföy No: P87837430,02-13-2025,İstanbul Anadolu / Ümraniye/ Atatürk Mah.,3.100.000 ₺,75,65,30+,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P87837430
"Atatürk Mahallesi Çarşı Merkezde 85 m2,Masrafsız,2+1,Satılık",Portföy No: P00355087,02-13-2025,İstanbul Anadolu / Ümraniye/ Atatürk Mah.,3.100.000 ₺,85,75,30+,2+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P00355087
