Advertisement,Advertisement No,Advertisement Date,City,District,Neighborhood,Price (try),Gross Area (m2),Net Area (m2),Building Age,Room,Floor,Heating,Furnished,Advertisement Link
Megakent Sitesinde Tadilat Yapılmış Geniş Kullanışlı 3+1 Daire,P14744576,2025-02-13,İstanbul,Çekmeköy, Sultançiftliği,4650000,135,120,16-20,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P14744576
ÜMRANİYE ARMAĞANEVLER'DE BOŞ 2+1 KAPALI OTOPARKLI SATILIK DAİRE,P07428403,2025-02-13,İstanbul,Ümraniye, Armağanevler,3750000,80,70,8,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P07428403
ŞERİFALİ DE PANAROMİK ŞEHİR MANZARALI DUBLEX,P75772274,2025-02-13,İstanbul,Ümraniye, Tatlısu,10500000,230,190,16-20,4+2,8,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P75772274
SELAMİÇEŞME DE ÖZGÜRLÜK PARKINA YAKIN 2+1  YENİ BİNA DA SATILIK DAİRE,P05146585,2025-02-13,İstanbul,Kadıköy, Göztepe,11000000,85,75,7,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P05146585
SUADİYE'DE H.TEPEYRAN SOKAK'TA SATILIK 96M2 NET 3+1 LÜKS DAİRE,P18045141,2025-02-13,İstanbul,Kadıköy, Suadiye,18950000,125,96,6,3+1,12,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P18045141
FENERYOLU DA YENİ 3+1 SATILIK LÜKS DAİRE,P74442658,2025-02-13,İstanbul,Kadıköy, Feneryolu,12200000,120,98,8,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P74442658
Daire Kartal Panoramik Adalar Manzaralı Satılık 2+1 Daire,P38220827,2025-02-13,İstanbul,Kartal, Yalı,7950000,110,65,6,2+1,13,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P38220827
Daire Kartal Panoramik Adalar Deniz Manzaralı Satılık 2+1 Daire,P83011308,2025-02-13,İstanbul,Kartal, Yalı,6750000,110,62,6,2+1,13,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P83011308
TUZLA AYDIN. MAH. DUMANKAYA BOTANİK 1+0 SATILIK BOŞ  FULL EŞYALI DAİRE,P21803868,2025-02-13,İstanbul,Tuzla, Aydınlı,2450000,50,40,10-15,1+0,6,Doğalgaz (Kombi),Evet,https://www.remax.com.tr/portfoy/P21803868
ÜSKÜDAR SELAMİ ALİ'DE 4+2 ÇİFT KATLI ŞÖMİNELİ SATILIK DAİRE,P04102844,2025-02-13,İstanbul,Üsküdar, Selami Ali,13500000,190,160,10-15,4+2,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P04102844
ESATPAŞA LALEZAR SİTESİ 2+1 SATILIK DAİRE,P54268305,2025-02-13,İstanbul,Ataşehir, Esatpaşa,4800000,80,60,10-15,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P54268305
"ATATÜRK MAHALLESİ ÇARŞI MERKEZDE 75 m2,ARAKAT,2+1,BAKIMLI DAİRE",P87837430,2025-02-13,İstanbul,Ümraniye, Atatürk,3100000,75,65,30+,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P87837430
"Atatürk Mahallesi Çarşı Merkezde 85 m2,Masrafsız,2+1,Satılık",P00355087,2025-02-13,İstanbul,Ümraniye, Atatürk,3100000,85,75,30+,2+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P00355087
ESTON ÇAMLIEVLER TADİLATLI KİRACILI 3+1 METROYA 600 M,P68477477,2025-02-13,İstanbul,Ataşehir, İçerenköy,9500000,116,97,26-30,3+1,2,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P68477477
CONDORD İSTANBUL SATILIK 1+1 DAIRE,P75251164,2025-02-13,İstanbul,Kadıköy, Dumlupınar,5750000,60,46,7,1+1,6,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P75251164
"Ataşehir İçerenköy de 3+1 Satılık 100m² Daire,",P66175215,2025-02-13,İstanbul,Ataşehir, İçerenköy,5250000,100,85,21-25,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P66175215
TÜTÜNCÜ MEHMET EFENDİ CAD ÜZERINDE SIFIR DAIRE,P23807834,2025-02-13,İstanbul,Kadıköy, Göztepe,20500000,107,97,0,3+1,4,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P23807834
CADDE ÜZERİ YENİ BİNADA BAHÇE KULLANIMLI 1+1 SATILIK DAİRE,P16681847,2025-02-13,İstanbul,Maltepe, Fındıklı,2850000,60,45,3,1+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P16681847
KISIKLI FERAH CADDESİ ÜZERİNDE BAHÇE KULLANIMLI SATILIK 1+1,P20324158,2025-02-13,İstanbul,Üsküdar, Kısıklı,3700000,70,50,10-15,1+1,Bahçe Katı,Doğalgaz (Kombi),Evet,https://www.remax.com.tr/portfoy/P20324158
KAYIŞDAĞI CADDESİNDE 1+1 SATILIK DAİRE,P23720035,2025-02-13,İstanbul,Ataşehir, Kayışdağı,3800000,75,60,10-15,1+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P23720035
"CAFERAĞA MAH.'DE 2+1 ÇATI DUBLEKSI – 14,5 M² TERASLI VE 2 M² BALKONLU – TAPU HARCI AVANTAJLI !",P70130222,2025-02-13,İstanbul,Kadıköy, Caferağa,15500000,90,65,2,2+1,5,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P70130222
PENDIK YAYALAR MH.MAVI KARADENIZ SITESI YATIRIMA UYGUN 2+1 SATILIK DAIRE,P07680641,2025-02-13,İstanbul,Pendik, Yayalar,3300000,75,65,26-30,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P07680641
ÜSKÜDAR BELEDİYESİ SOKAĞINDA SIFIR YÜKSEK GİRİŞ SATILIK 2+1 DAİRE,P71377065,2025-02-13,İstanbul,Üsküdar, Mimar Sinan,7100000,80,70,1,2+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P71377065
ÜMRANIYE İSTIKLAL MAH. TOPLU ULAŞIMA YAKIN SATILIK 4+1 DUBLEKS DAİRE,P51582712,2025-02-13,İstanbul,Ümraniye, İstiklal,7650000,135,115,10-15,4+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P51582712
KALAMIŞ SUN MARİNE SİTESİNDE 7/24 GÜVENLİK 2+1 SATILIK DAİRE,P55745215,2025-02-13,İstanbul,Kadıköy, Zühtüpaşa,11200000,90,70,16-20,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P55745215
ESATPAŞA EMEK SİTESİNDE 4+1 TADİLATLI SATILIK DUBLEKS BOŞ DAİRE,P13337274,2025-02-13,İstanbul,Üsküdar, Cumhuriyet,7250000,210,190,26-30,4+1,5,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P13337274
ÜMRANİYE İNKILAP MAHALLESİ KAPLANKENT SİTESİNDE SATILIK 3+1 DAİRE,P87661700,2025-02-13,İstanbul,Ümraniye, İnkılap,4950000,130,110,26-30,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P87661700
ESENEVLER YUNUS EMRE CADDESİ ARKA SOKAĞINDA 4+2 DUBLEKS DAİRE,P88660372,2025-02-13,İstanbul,Ümraniye, Esenevler,7050000,220,194,16-20,4+2,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P88660372
ÜMRANIYE SITE MAHALLESI 2+1 SATILIK DAIRE ACIL ! ACIL !,P05465846,2025-02-13,İstanbul,Ümraniye, Site,2825000,86,72,10-15,2+1,1. Bodrum,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P05465846
İSTMARİNA'DA HEM OFİS HEM KONUT İÇİN UYGUN DENİZ MANZARALI 1+0,P14424574,2025-02-13,İstanbul,Kartal, Kordonboyu,5250000,45,30,9,1+0,24,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P14424574
ATAŞEHİR KÜÇÜKBAKKALKÖY HASTANELER BÖLGESİNDE SATILIK 3+1,P75458801,2025-02-13,İstanbul,Ataşehir, Küçükbakkalköy,3200000,130,115,30+,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P75458801
"MALTEPE,ALTINTEPE'DE BAHÇE KULLANIMLI 3+1 DAIRE SATILIK",P22338304,2025-02-13,İstanbul,Maltepe, Altıntepe,6550000,130,90,26-30,3+1,Giriş Katı,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P22338304
Namık Kemalde İskanlı Yeni Binada Fırsat Satılık 2+1 Daire,P06805153,2025-02-13,İstanbul,Ümraniye, Namık Kemal,3750000,75,65,5,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P06805153
AsHill'den Çengelköy Hasbahçe Konaklarında Lüsk Sıfır 2+1 Daire,P84168535,2025-02-13,İstanbul,Üsküdar, Küçüksu,12900000,148,93,1,2+1,2,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P84168535
KÜÇÜKYALI'DA FERAH A.OTOPARKLI 55M² METROYA YAKIN SATILIK DAİRE,P81145875,2025-02-13,İstanbul,Maltepe, Küçükyalı,3700000,55,40,10-15,1+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P81145875
AsHill'den Çengelköy HasBahçe Konaklarında Satılık 3+1 Daire,P44234217,2025-02-13,İstanbul,Üsküdar, Küçüksu,14250000,150,107,1,3+1,1,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P44234217
Ashill'den Üsküdar Küçüksu HasBahçe Konaklarında Lüks 4+1 Daire,P84806153,2025-02-13,İstanbul,Üsküdar, Küçüksu,17500000,208,147,1,4+1,1,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P84806153
AsHill'den Has Bahçe Konaklarında Lüks 5+1 Dublex Daire,P20854247,2025-02-13,İstanbul,Üsküdar, Küçüksu,32000000,428,288,1,5+1,6,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P20854247
AsHill'den Çekmeköy Cumhuriyet Mah.Kullanışlı 3+1 Satılık Daire,P32208175,2025-02-13,İstanbul,Çekmeköy, Cumhuriyet,4300000,110,90,8,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P32208175
"İÇERENKÖY'DE DEKORASYONLU, OTOPARKLI,ASANSÖRLÜ,GENİŞ SATILIK 3+1 DAİRE",P72317847,2025-02-13,İstanbul,Ataşehir, İçerenköy,7000000,150,130,26-30,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P72317847
ÜMRANİYE ATAKENT CANPARK AVM KARŞISI 3+1 YATIRIMLIK FIRSAT DAİRE,P44463175,2025-02-13,İstanbul,Ümraniye, Atakent,5000000,110,95,26-30,3+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P44463175
"BAĞDATA 3. BINA.ÖNÜ AÇIK,BALKONLU,MÜKEMMEL KONUMDA",P70661822,2025-02-13,İstanbul,Kadıköy, Suadiye,18950000,130,100,21-25,3+1,1,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P70661822
"AsHill'den Site İçi, Güvenlik, Kapalı Otopark, Sıfır Daire",P08176131,2025-02-13,İstanbul,Üsküdar, Bahçelievler,11250000,115,100,3,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P08176131
"AsHill'den Site İçi, Güvenlik, Kapalı Otopark, Sıfır Daire",P08183532,2025-02-13,İstanbul,Üsküdar, Bahçelievler,9000000,80,70,3,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P08183532
"AsHill'den Site İçi, Güvenlik, Kapalı Otopark, Sıfır Daire",P87642372,2025-02-13,İstanbul,Üsküdar, Bahçelievler,9750000,160,70,1,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P87642372
REMAX CEMAL UMAR FİNANS MERKEZİNE KOMŞU SATILIK 2+1 DAİRE,P08641484,2025-02-13,İstanbul,Ümraniye, Site,5300000,90,80,10-15,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P08641484
AsHill'den Tantavi 2+1 Sur Yapı Exen Yanı Sıfır Boş Daire,P34751017,2025-02-13,İstanbul,Ümraniye, Tantavi,7100000,85,75,1,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P34751017
AsHill'den 3+1 Ümraniye Sur Yapı Exxen Yanı Satılık Daireler,P84605844,2025-02-13,İstanbul,Ümraniye, Tantavi,9500000,120,100,1,3+1,11,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P84605844
AsHill'den Çekmeköy Fors Taşdelen Sitesinde 3+1 Satılık Ara Kat,P62354586,2025-02-13,İstanbul,Çekmeköy, Ekşioğlu,4900000,120,90,8,3+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P62354586
AsHill den Burhaniye Nuri Bey Sokak da 5+2 Lüks Dubleks Daire,P27615820,2025-02-13,İstanbul,Üsküdar, Burhaniye,27500000,300,256,1,5+2,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P27615820
Ataşehir İÇERENKÖY de En İyi Lokasyonda Arakat Balkonlu Aydınlık,P05546405,2025-02-13,İstanbul,Maltepe, Zümrütevler,6250000,136,116,21-25,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P05546405
"PENDIK DUMLUPINAR TAŞINMAYA HAZIR (BOŞ), SATILIK 2+1 DAIRE",P40337544,2025-02-13,İstanbul,Pendik, Dumlupınar,3350000,100,70,16-20,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P40337544
RE/MAX MASA BURHANİYE EKŞİOĞLU KONAKLARI 121M2 3+1 SATILIK DAİRE,P11061412,2025-02-13,İstanbul,Üsküdar, Burhaniye,9500000,121,101,1,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P11061412
RE/MAX MASA BURHANİYE EKŞİOĞLU KONAKLARI 2+1 SATILIK,P73103042,2025-02-13,İstanbul,Üsküdar, Burhaniye,5600000,77,58,2,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P73103042
"REMAX MASA ESENEVLER, YUNUS EMRE CADDESİNDE 3+1 SATILIK DAİRE",P10730222,2025-02-13,İstanbul,Ümraniye, Esenevler,6500000,121,101,10-15,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P10730222
RE/MAX MASA BURHANİYE EKŞİOĞLU KONAKLARI 121M2 3+1 SATILIK DAİRE,P10173551,2025-02-13,İstanbul,Üsküdar, Burhaniye,9450000,121,101,0,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P10173551
Kartal Hürriyet mahallesinde Satılık 3+1 Daire,P56175477,2025-02-13,İstanbul,Kartal, Hürriyet,5500000,125,110,1,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P56175477
Kartal Hürriyet mahallesinde 3+1 Satılık Dubleks Daire,P53423183,2025-02-13,İstanbul,Kartal, Hürriyet,6500000,170,153,2,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P53423183
MALTEPE BAĞLARBAŞI’NDA KAÇIRILMAYACAK FIRSAT!,P84317555,2025-02-13,İstanbul,Maltepe, Bağlarbaşı,3500000,95,85,30+,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P84317555
ÇEKMEKÖY MERKEZ MAHALLESİ SATILIK GENİŞ 2+1 3.KAT BOŞ DAİRE,P83870553,2025-02-13,İstanbul,Çekmeköy, Merkez,4900000,110,75,1,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P83870553
KARTAL HÜRRİYET MAH.SATILIK 65 M2 ARSA PAYLI GENİŞ BOŞ 2+1 DAİRE,P76830237,2025-02-13,İstanbul,Kartal, Hürriyet,2950000,140,125,26-30,2+1,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P76830237
SANCAKTEPE OSMANGAZİ'DE METROYA YAKIN İKİ AYRI DAİRE KULLANIMLI 5+2 DUBLEKS DAİRE,P66324461,2025-02-13,İstanbul,Sancaktepe, Osmangazi,6600000,190,175,9,5+2,3,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P66324461
NARLIBAHÇE EVLERİNDE 2+1 BALKONLU SATILIK DAİRE,P37476500,2025-02-13,İstanbul,Ümraniye, Necip Fazıl,8950000,95,71,2,2+1,11,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P37476500
MALTEPE FINDIKLI 2+1 SATILIK DAİRE,P65018160,2025-02-13,İstanbul,Maltepe, Fındıklı,3950000,75,65,5,2+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P65018160
TUZLA ORTA MH. MERKEZDE GENİŞ FERAH 2+1 SATILIK DAİRE,P86038524,2025-02-13,İstanbul,Tuzla, Orta,2850000,165,150,16-20,2+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P86038524
PENDİK GÜZELYALI 3+1 SATILIK DAİRE,P66571560,2025-02-13,İstanbul,Pendik, Güzelyalı,2500000,110,100,21-25,3+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P66571560
RE/MAX PROF EREN YILDIRIM ATLANTİK FLY SİT 3+1 SATILIK BOŞ DAİRE,P17081503,2025-02-13,İstanbul,Pendik, Güllü Bağlar,7250000,150,130,5,3+1,2,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P17081503
"Kartal Orhantepe'de Satılık Katta Tek, Geniş Ferah 3+1",P57868744,2025-02-13,İstanbul,Kartal, Orhantepe,7850000,200,180,26-30,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P57868744
"CADDEBOSTANIN EN GÜZEL SOKAĞINDA, KATTA TEK,4+1 DEN 3+1 E DÖNÜŞTÜRÜLMÜŞ 195 m2  SATILIK DAİRE",P45500837,2025-02-13,İstanbul,Kadıköy, Caddebostan,19950000,195,150,30+,3+1,10,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P45500837
SUADİYE  EMİNALİPAŞA CAD. VATANDAŞLIK İÇİN UYGUN  BALKONLU İSKANLI SATILIK DAİRE,P75105852,2025-02-13,İstanbul,Kadıköy, Suadiye,16300000,105,90,6,2+1,4,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P75105852
GÖZTEPE TURKUAZ PARK RESIDENCE 3+1 SATILIK DAİRE,P14676220,2025-02-13,İstanbul,Kadıköy, Caddebostan,23300000,120,100,8,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P14676220
BAĞLARBAŞINDA ARA KAT SIFIR HARİKA 2+1 DAİRE,P28208233,2025-02-13,İstanbul,Maltepe, Bağlarbaşı,6900000,74,65,1,2+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P28208233
BAĞLARBAŞINDA KISMİ DENİZ MANZARALI HARİKA SIFIR 2+1 DAİRE,P17061614,2025-02-13,İstanbul,Maltepe, Bağlarbaşı,7000000,74,64,1,2+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P17061614
ATAŞEHİR EVİNPARK REZİDANS 3+1 ARAKAT SATILIK DAİRE,P25670224,2025-02-13,İstanbul,Ataşehir, Atatürk,8500000,120,90,9,3+1,3,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P25670224
DENİZE VE MARMARAYA YÜRÜME MESAFEDE SATILIK  PANAROMİK DUBLEX,P31853881,2025-02-13,İstanbul,Pendik, Doğu,11975000,275,250,26-30,5+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P31853881
BAĞLARBAŞINDA SIFIR GİYİM ODALI SIFIR HARİKA 2+1 DAİRE,P43885216,2025-02-13,İstanbul,Maltepe, Bağlarbaşı,7000000,74,64,1,2+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P43885216
KARTAL DAP TERAS KULEDE BÜYÜK TİP DENİZ MANZARALI BOŞ DAİRE,P71217753,2025-02-13,İstanbul,Kartal, Topselvi,3700000,45,35,5,1+0,15,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P71217753
FENERYOLU YAZICIBAŞI SOK 3+1 120 M2 NET YATIRIM FIRSATI  OLAN SATILIK DAİRE,P71077318,2025-02-13,İstanbul,Kadıköy, Feneryolu,9850000,150,120,30+,3+1,6,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P71077318
EMAAR AVM KARŞISI GARANTİ SİTESİ 100M2 2+1 SATILIK DUBLEKS DAİRE,P37348572,2025-02-13,İstanbul,Ataşehir, Fetih,6400000,100,95,30+,2+1,1,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P37348572
KAYNARCA'DA MERKEZDE 3+1 GENİŞ KULLANIŞLI ARA KAT DAİRE,P20415857,2025-02-13,İstanbul,Pendik, Kaynarca,5750000,120,110,10-15,3+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P20415857
MALTEPE'DE GENÇ BİNADA 3+1 SATILIK BAHÇE KATI,P61265154,2025-02-13,İstanbul,Maltepe, Bağlarbaşı,7200000,110,95,10-15,3+1,Bahçe Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P61265154
ŞAŞKINBAKKALDA BAĞDAT CADDESİNE 5.BİNADA 120M2 3+1 SATILIK DAİRE,P60044732,2025-02-13,İstanbul,Kadıköy, Suadiye,18500000,120,90,21-25,3+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P60044732
KARTAL KORDONBOYU SAHİLE 1.BİNA DENİZ MANZARALI 125M2 3+1,P13870017,2025-02-13,İstanbul,Kartal, Kordonboyu,5000000,125,110,26-30,3+1,7,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P13870017
KAYNARCA'DA ÇOK BÜYÜK VE KULLANIŞLI 3+1 ARA KAT DAİRENİZ SİZİ BEKLİYOR,P33178241,2025-02-13,İstanbul,Pendik, Kaynarca,5750000,120,110,10-15,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P33178241
BAĞLARBAŞI MERKEZİ KONUMDA SIFIR 2+1 SATILIK ARA KAT DAİRE,P71302335,2025-02-13,İstanbul,Maltepe, Bağlarbaşı,6250000,95,67,1,2+1,5,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P71302335
TABLO ADALAR MALTEPE'de  SIFIR  1+1 BAKONLU DAİRE,P74541445,2025-02-13,İstanbul,Maltepe, Zümrütevler,5495000,64,39,1,1+1,11,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P74541445
KENTPLUS CENTRIUM DA SİTE İÇİNDE  ŞEHİR MANZARALI  2+1 SATILIK DAİRE,P07347033,2025-02-13,İstanbul,Maltepe, Fındıklı,6450000,85,75,10-15,2+1,16,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P07347033
ORTADAĞ'DA HARİKA 3+2 FIRSAT TERS DUBLEKS DAİRE,P78567048,2025-02-13,İstanbul,Sancaktepe, Fatih,5250000,190,160,5,3+2,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P78567048
PENDİK ÇARŞI İÇİ'NDE GENİŞ 2+1 SATILIK DAİRE,P00364863,2025-02-13,İstanbul,Pendik, Doğu,3500000,100,90,30+,2+1,1,Doğalgaz Sobası,Hayır,https://www.remax.com.tr/portfoy/P00364863
PENDİK ESENLER'DE YATIRIMLIK FIRSAT 2+1 DAİRE,P10572281,2025-02-13,İstanbul,Pendik, Esenler,2250000,80,70,1,2+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P10572281
ALTAYÇEŞME'DE YATIRIMLIK FIRSAT 3+1 DAİRE,P68718378,2025-02-13,İstanbul,Maltepe, Altayçeşme,5450000,100,89,26-30,3+1,6,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P68718378
KAVACIK MAHALLESİN’DE BRÜT 110M2 2+1 GENİŞ SATILIK ARA KAT,P04282452,2025-02-13,İstanbul,Beykoz, Kavacık,7950000,110,100,21-25,2+1,4,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P04282452
Libadiye 3+1 Daire. Çok güzel bir konumda,P30707330,2025-02-13,İstanbul,Üsküdar, Cumhuriyet,5750000,100,80,16-20,3+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P30707330
MEHMET AKİF MAH SATILIK BOŞ BALKONLU SIFIR 2+1 LÜKS DAİRE,P66883485,2025-02-13,İstanbul,Ümraniye, Mehmet Akif,6450000,71,63,1,2+1,4,Yerden Isıtma,Hayır,https://www.remax.com.tr/portfoy/P66883485
PENDİİK MERKEZ DE DENİZ MANZARALI METROYA YÜRÜME MESAFESİNDE SATILIK 3+1 DAİRE,P20027457,2025-02-13,İstanbul,Pendik, Bahçelievler,4600000,150,135,30+,3+1,5,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P20027457
SAHİLE 2.PARSEL DRAGOS MARİN SİTESİNDE 3+1 FIRSAT DAİRE,P72087864,2025-02-13,İstanbul,Kartal, Kordonboyu,9250000,110,90,3,3+1,2,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P72087864
PETROL İŞ MAH. RODOŞOSE FIRSAT 2+1 DAİRE,P11563617,2025-02-13,İstanbul,Kartal, Petrol iş,5950000,90,90,1,2+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P11563617
FINDIKLI MAHALLESİ'NDE SIFIR FIRSAT SATILIK 2+1 DAİRE,P67655807,2025-02-13,İstanbul,Maltepe, Fındıklı,3250000,75,65,1,2+1,Giriş Katı,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P67655807
Beykoz Tokatköy'de Site içersin'de Satılık 2+1 Dare,P84011238,2025-02-13,İstanbul,Beykoz, Tokatköy,6250000,85,75,1,2+1,1,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P84011238
REMAX ABC AĞAOĞLU MY CİTY'DE GÜNEY CEPHE BOŞ 275m2 5+1 DUBLEX,P02380378,2025-02-13,İstanbul,Ümraniye, Çakmak,13500000,275,235,26-30,5+1,Yüksek Giriş,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P02380378
Beykoz Yalıköy'de Deniz Manzaralı Satılık 3+1 Daire,P71831046,2025-02-13,İstanbul,Beykoz, Yalıköy,6750000,130,115,30+,3+1,1. Bodrum,Doğalgaz (Kombi),Hayır,https://www.remax.com.tr/portfoy/P71831046
CEVİZLİ MİNİBÜS CADDESİ ÜZERİNDE SIFIR BİNA 71M2 2+1 SATILIK DAİRE,P03380025,2025-02-13,İstanbul,Maltepe, Cevizli,4250000,71,60,1,2+1,2,Merkezi,Hayır,https://www.remax.com.tr/portfoy/P03380025
